Type,Name,Description,Related Facility ID,Technique,Location,Contact Name,Contact Telephone,Contact URL,Contact Email,Secondary Contact Name,Secondary Contact Telephone,Secondary Contact URL,Secondary Contact Email,ID,Photo,Department,Site Location,Building,Service Level,Web Address
Facility,VSimulators - Bath,"Whether your research involves working in a high rise office building, exploring your newly designed structure, understanding human responses to changing environmental conditions or exploring people's physiological responses to the built environment, we can provide the multi-disciplinary capability to fully explore human-environment interactions.<br/><br/><b>VSimulators at Bath - Key Features:</b><br/><br/>- 3m x 4m self contained environment test chamber (supplied by Temperature Applied Sciences) which can be occupied by up to three occupants for extensive periods of time<br/>- a custom designed motion platform, with freedom of movement in three directions (designed and developed by Servotest Systems, in collaboration with the University of Bath) (0.01Hz – 6HZ+, and amplitudes of up to +/- 400mm)<br/>- projected 3D and 2D virtual reality (images are projected onto the walls), programmed to adjust the visual and audio sensory output according to the time of day and building height (designed and developed by Antycip Simulation, in collaboration with the University of Bath)<br/>- motion tracking of occupants<br/>- physiological recording of human factor responses<br/><br/><br/><b>Environmental Control Features:</b><br/>The VSimulator facility at the University of Bath offers precise environmental controls, as follows<br/>- Air Temperature : 15 to 40 degrees centigrade<br/>- Humidity : 20% to 80%<br/>- Horizontal Illuminance : 50 to 2000 lux<br/>- Colour Temperature : 2000 to 6500 K<br/>- Lighting illuminance: 50-2000 Lux<br/>- Radiant temperature: 5 – 40 degrees centigrade",,,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,vsimulators@exeter.ac.uk,,,,,254595883,,,"University of Bath, Claverton Down, Bath, BA2 7AY",,,https://vsimulators.co.uk/About/bath
Equipment,Atomic Force Microscope,"Nano particles, nano tubes, biological samples, materials samples, gold",,Surface Probe Microscopy - Atomic Force,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,31984613,https://researchportal.bath.ac.uk/files-asset/235302152/DSC01195.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.15C,,https://www.bath.ac.uk/corporate-information/spectroscopy-surface-characterisation/
Equipment,Autosorb iQ Sorption,"Used to analyse the surface of solids, in particular the pore structure and surface area (BET). This instrument is also used to better characterise and understand catalysts in reaction studies.<br/><br/>Applications: microporous materials, zeolites, MOFs, activated carbons, catalysts.",,Surface Analysis - Adsorption,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,200012007,https://researchportal.bath.ac.uk/files-asset/235305987/PXL_20220505_140204520.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",5 W 2.32A,,https://www.bath.ac.uk/corporate-information/spectroscopy-surface-characterisation/
Equipment,Avance NEO 400 MHz Nuclear Magnetic Resonance (NMR) Spectrometer (new 1South),,,Spectroscopy - Nuclear Magnetic Resonance,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,200012075,https://researchportal.bath.ac.uk/files-asset/235381285/P1020306.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",1 S 0.41,,https://www.bath.ac.uk/corporate-information/nuclear-magnetic-resonance/
Equipment,Differential Scanning Calorimeter (DSC),"Analysis of polymeric materials: glass transition, melting point, cold crystallisation. Analysis of thermal stability. Measurement of melting temperature and enthalpy.<br/><br/>Applications: polymers, crystals, metals",,Physical Properties - Thermal,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,190537159,https://researchportal.bath.ac.uk/files-asset/235305746/PXL_20220505_140225052.NIGHT.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",5 W 2.32A,,https://www.bath.ac.uk/corporate-information/thermal-and-polymer-characterisation/
Equipment,Dynamic Mechanical Analyser (DMA),"Measurement of the complex modulus in tension, compression or bending, in a large range of temperature. Detection of glass transition in polymeric materials. Analysis of the visco-elastic behaviour of materials.<br/><br/>Applications: rubbers, plastics, polymers, composites, foams, gels",,Physical Properties - Thermal,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,116681254,https://researchportal.bath.ac.uk/files-asset/235301720/29336_0077.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",5 W 2.32A,,https://www.bath.ac.uk/corporate-information/thermal-and-polymer-characterisation/
Equipment,Electron microscopy preparation system (Leica EM TXP),Electron microscopy preparation system (Leica EM TXP),,Etching - Mechanical,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,239060035,https://researchportal.bath.ac.uk/files-asset/239595813/P1020328.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.16F,,https://www.bath.ac.uk/corporate-information/electron-microscopy/
Equipment,Field Emission Scanning Electron Microscope (FE-SEM),"Field Emission scanning electron microscope FE-SEM (JEOL JSM-7900F) with attached UltiMax 170mm² Energy dispersive X-ray (EDX) detector (Oxford instruments), Ultim Extreme 100mm² EDX detector (Oxford Instruments) and a four segment scanning transmission electron microscopy (STEM) detector (Deben)<br/><br/>Applications: Nano particles, nano tubes, biological samples, materials samples, Protein, bacteria, fungi, cement<br/>",,Electron Microscopy - Scanning,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,31981168,https://researchportal.bath.ac.uk/files-asset/239594080/P1020316.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.16B,,https://www.bath.ac.uk/corporate-information/electron-microscopy/
Equipment,Gas Chromatography-Mass Spectrometry (GC-MS) with Thermal desorption,"Utilised to characterise volatile organic compounds through gas chromatography separation, coupled to a single quadrupole mass spectrometer for nominal mass determinations. This instrument can analyse liquids, but also has a thermal desorption capability to analyse sorbent trapped VOCs and SVOCs, eg. for environmental sampling and air quality. Extensive spectral libraries (EI) eg. NIST. Can be used for identification purposes. ",,Spectrometry - Mass Spectrometry,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,199952251,https://researchportal.bath.ac.uk/files-asset/235306004/PXL_20220505_140252599.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",5 W 2.32B,,https://www.bath.ac.uk/corporate-information/mass-spectrometry/
Equipment,Glove Box  - used in conjunction with other DReaM instruments ,"Coupled to QTOF MS for MS analysis of air and/or moisture sensitive compounds in polar solvents. Can be used to set up air/moisture sensitive reactions for reaction monitoring by other DReaM equipment (NMR, MS, headspace MS, HPLC, UV)<br/>",,Controlled Environment - Glove Box,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,31984656,https://researchportal.bath.ac.uk/files-asset/235302812/glovebox.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",9W 0.03,,https://www.bath.ac.uk/research-facilities/dynamic-reaction-monitoring-facility/
Equipment,Headspace gas mass spectrometer (headspace gas MS),"The headspace mass spectrometer samples from the headspace of a homogeneous reaction generating gases, using a carrier gas to flow through the headspace (typically argon). The mass spectrometer can be used to identify masses between 1 and 300 amu. Gases are not returned to the headspace after analysis.<br/>",,Spectrometry - Mass Spectrometry,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,190537644,https://researchportal.bath.ac.uk/files-asset/235302729/43925234721_86b287eeaa_o.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",9 W 0.03,,https://www.bath.ac.uk/research-facilities/dynamic-reaction-monitoring-facility/
Equipment,Hypoxic workstation Baker Ruskinn Sci-tive Duo,,,Controlled Environment - Glove Box,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,200012119,https://researchportal.bath.ac.uk/files-asset/235302464/DSC01245.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.11,,https://www.bath.ac.uk/corporate-information/bio-imaging-and-cell-analysis/
Equipment,Ion Miller (Leica EM RES 102),"Material samples for TEM, Material samples for SEM, polymers, Cross section cutting, polishing for EBSD",,Etching - Ion Beam Milling,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,146493842,https://researchportal.bath.ac.uk/files-asset/235302294/DSC01086Edit.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.16F,,https://www.bath.ac.uk/corporate-information/electron-microscopy/
Equipment,Large chamber variable pressure scanning electron microscope (SEM),"Large chamber variable pressure scanning electron microscope (SEM) (Hitachi SU3900) with attached UltiMax 170mm² EDX detector (Oxford instruments) and electron backscatter diffraction detector (Symmetry-S2, Oxford Instruments)<br/><br/>Applications: Nano particles, nano tubes, biological samples, materials samples, Protein, bacteria, fungi, cement<br/>",,Electron Microscopy - Scanning,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,31984624,https://researchportal.bath.ac.uk/files-asset/239594033/P1020318.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.16B,,https://www.bath.ac.uk/corporate-information/electron-microscopy/
Facility,MC2 - Material and Chemical Characterisation,We offer a comprehensive range of services: Quality control; Polymer characterisation; Chemical structure elucidation; Synthesis product confirmation; Identification of unknowns; Reaction monitoring; Protein analysis; Imaging of materials and cells; Elemental analysis.The DOI for the Facility is https://doi.org/10.15125/mx6j-3r54,,,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,195051455,,,"University of Bath, Claverton Down, Bath, BA2 7AY",,,http://www.bath.ac.uk/research-facilities/material-and-chemical-characterisation-facility-mc2/
Equipment,MicroToF Mass Spectrometer - used in conjunction with other DReaM instruments,"Identification and formula confirmation of small molecules in liquids and solutions, for screening, metabolite identification and contaminants<br/>",,Spectrometry - Mass Spectrometry,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,239062892,https://researchportal.bath.ac.uk/files-asset/239594019/P1020315.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",9 W 0.03,,https://www.bath.ac.uk/research-facilities/dynamic-reaction-monitoring-facility/
Equipment,Raman confocal microscope RENISHAM INVIA,"Nano particles, nanotubes, materials samples, building material, polymers, skin, inorganic materials, organic materials",,Spectroscopy - Raman,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,31983643,https://researchportal.bath.ac.uk/files-asset/235302171/DSC01320.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.12,,https://www.bath.ac.uk/corporate-information/spectroscopy-surface-characterisation/
Equipment,Small Angle X-Ray Scattering (SAXS) ,"measurement of particle size and shape in suspensions, level of organisation within the suspension, including micelles and aggregates",,Diffraction - X-ray,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,190537103,https://researchportal.bath.ac.uk/files-asset/235302047/IMG_2768.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",1 S 0.36,,https://www.bath.ac.uk/corporate-information/x-ray-diffraction/
Equipment, Avance III 400 MHz Nuclear Magnetic Resonance (NMR) Spectrometer (9West),"Small molecule characterisation, purity analysis, unknowns, polymer characterisation, molecular size by diffusion, multinuclear (e.g., 1H, 13C, 31P, 11B plus others). 2D NMR.",,Spectroscopy - Nuclear Magnetic Resonance,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,190536760,https://researchportal.bath.ac.uk/files-asset/239593982/P1020313.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",9 W 0.03,,https://www.bath.ac.uk/corporate-information/nuclear-magnetic-resonance/
Equipment,Avance III 500 MHz Nuclear Magnetic Resonance (NMR) Spectrometer (9West),"Small molecule characterisation, purity analysis, unknowns, polymer characterisation, molecular size by diffusion, multinuclear (e.g., 1H, 13C, 31P, 11B, 19F plus others). 2D NMR. Non-deuterated samples<br/>",,Spectroscopy - Nuclear Magnetic Resonance,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,31981070,https://researchportal.bath.ac.uk/files-asset/239596329/P1020329.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",9 W 0.03,,https://www.bath.ac.uk/corporate-information/nuclear-magnetic-resonance/
Equipment,Avance III HD 500 MHz Nuclear Magnetic Resonance (NMR) Spectrometer with cryoprobe (9West),500 MHz Nuclear Magnetic Resonance instrument (NMR) with cryoprobe  - used in conjunction with other DReaM instruments<br/>,,Spectroscopy - Nuclear Magnetic Resonance,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,190537696,https://researchportal.bath.ac.uk/files-asset/235302831/29336_0398.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",9 W 0.03,,https://www.bath.ac.uk/research-facilities/dynamic-reaction-monitoring-facility/
Equipment,Confocal Laser Scanning Microscope Zeiss LSM-880 with Airyscan and multiphoton laser,"Enviromentaly controled Confocal Microscope System with AiryScan Super-Resolution detector and InSight multiphoton IR-Laser.<br/>Qualitative detection of fluorescently tagged proteins, cellular organels/compartments or chemical substances, and 3D reconstruction of the tagged structure in fixed specimens as well as in living cells, tissues or organisms. Co-localization studies of two or more fluorescently tagged proteins. Semi-quantitative and quantitative measurements of chemical processes, enzyme/protein kinetics in cells. Finds broad application in Biology, Medicine, Pharmacology, Physics, and Chemistry.<br/>",,Optical Microscopy - Confocal,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,155964906,https://researchportal.bath.ac.uk/files-asset/235302387/DSC01032.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.16D,,https://www.bath.ac.uk/corporate-information/bio-imaging-and-cell-analysis/
Equipment,Epi-fluorescent microscope Leica Dmi8 in hypoxic cabinet,"Baker-Ruskinn Sci-tive Hypoxic Cabinets: Enviromentaly controled cabinet/incubator, for cell growth and in vitro cell study under hypoxic/anoxic conditions.<br/><br/>DMi8: Qualitative detection of fluorescently tagged proteins, cellular organels/compartments or chemical substances, in fixed specimens as well as in living cells, tissues or organisms. In combination with the hypoxic chamber, it provides immediate microscopic assesment in hypoxic/anoxic conditions. Finds broad application in Biology, Medicine, Pharmacology<br/>",,Optical Microscopy - Fluorescence,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,139522444,https://researchportal.bath.ac.uk/files-asset/235302514/DSC01247.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.11,,https://www.bath.ac.uk/corporate-information/bio-imaging-and-cell-analysis/
Equipment,Flow Cytometer - BD FACSCanto II,"Analysis of cell populations and subpopulations based on i) physical characteristics of the cells, and ii)  specific tags that discrimate the different cell populations. FACS Canto can discriminate up to 6 different fluorophores. It has broad application in Biology, Medicine, and Immunology both as a research and diagnostic tool.<br/>",,Characterisation - Cell Counters,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,31984662,https://researchportal.bath.ac.uk/files-asset/235302390/DSC01074.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.16E,,https://www.bath.ac.uk/corporate-information/bio-imaging-and-cell-analysis/
Equipment,Flow Cytometer cell sorter - BD FACS Aria III,"Analysis of cell populations and subpopulations based on i) physical characteristics of the cells, and ii)  specific tags that discrimate the different cell populations. FACS Aria III can discriminate up to 14 different fluorophores. Based on proper gating the instrument offers the ability to physically sort a heterogenous cell mixture in different sub-populations. Thus, collection of pure cell populations with specific characteristics is possible. It has broad application in Biology, Medicine, and Immunology both as a research and diagnostic tool.<br/>",,Characterisation - Cell Counters,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,31981860,https://researchportal.bath.ac.uk/files-asset/235848665/P1020311.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.14,,https://www.bath.ac.uk/corporate-information/bio-imaging-and-cell-analysis/
Equipment,Fourier Transform Infrared spectrometer (FT-IR),"Organic materials, inorganic materials",,Spectroscopy - Infra-Red,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,190537073,https://researchportal.bath.ac.uk/files-asset/235302175/DSC01208.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.11,,https://www.bath.ac.uk/corporate-information/spectroscopy-surface-characterisation/
Equipment,Gold sputter coater,Non conductive samples<br/>,,Thin Film Deposition - Sputterer,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,190536975,https://researchportal.bath.ac.uk/files-asset/239596297/P1020331.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.16A,,https://www.bath.ac.uk/corporate-information/electron-microscopy/
Equipment,High resolution carbon evaporator,Non conductive samples<br/>,,Thin Film Deposition - Evaporator,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,190537009,https://researchportal.bath.ac.uk/files-asset/239595795/P1020325.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.16A,,https://www.bath.ac.uk/corporate-information/electron-microscopy/
Equipment,High resolution sputter coater,Non conductive samples<br/>,,Thin Film Deposition - Sputterer,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,190536738,https://researchportal.bath.ac.uk/files-asset/235302198/DSC01008.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.16A,,https://www.bath.ac.uk/corporate-information/electron-microscopy/
Equipment,InCell Analyser Plate Reader with High Content Microscope (InCell Analyser),"Automated, high volume of microscopic data acquisition that allows phenotypic screening of cell populations for RNAi stydies, drug discovery, genetic manipulation studies, disease screening and research.<br/>",,Characterisation - Plate Readers,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,31981162,https://researchportal.bath.ac.uk/files-asset/235302418/DSC01202.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W 2.14 ,,https://www.bath.ac.uk/corporate-information/bio-imaging-and-cell-analysis/
Equipment,Light-sheet microscope Zeiss Z.1,,,Optical Microscopy - Fluorescence,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,239059966,https://researchportal.bath.ac.uk/files-asset/239676937/P1020339.JPG?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 S 0.14,,https://www.bath.ac.uk/corporate-information/bio-imaging-and-cell-analysis/
Equipment,Matrix Assisted Lazer Desorption Ionisation Tandem Time-of-Flight Mass Spectrometer (MALDI-TOF-TOF MS) ,"Utilised for polymer analysis, and some medium biomolecules (1000 Da - 5000 Da). Has LIFT capability for MS/MS of peptides and is linked to the Mascot database.<br/>",,Spectrometry - Mass Spectrometry,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,190536801,https://researchportal.bath.ac.uk/files-asset/235302661/2014_09_08_976.jpg?w=450&f=webp,,"University of Bath, Claverton Down, Bath, BA2 7AY",5 W 2.32B,,https://www.bath.ac.uk/corporate-information/mass-spectrometry/
Technology type,MC2-Bioimaging and cell analysis,,,,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,199728970,,,"University of Bath, Claverton Down, Bath, BA2 7AY",,,https://www.bath.ac.uk/corporate-information/bio-imaging-and-cell-analysis/
Technology type,MC2-Electron Microscopy (EM),,,,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,200011945,,,"University of Bath, Claverton Down, Bath, BA2 7AY",,,https://www.bath.ac.uk/corporate-information/electron-microscopy/
Technology type,MC2-Mass Spectrometry (MS),,,,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,mc2@bath.ac.uk,,,,,199728622,,,"University of Bath, Claverton Down, Bath, BA2 7AY",,,https://www.bath.ac.uk/corporate-information/mass-spectrometry/
